iter	MultiCrossEntropy
0	0.6806796436
1	0.6685398975
2	0.6582287494
3	0.6490693263
4	0.6398520929
5	0.631145027
6	0.6229549231
7	0.6150183171
8	0.6081259235
9	0.6016735492
10	0.5963353188
11	0.5902479102
12	0.5851513273
13	0.5794239368
14	0.5750189163
15	0.5699419171
16	0.5656001402
17	0.5616245454
18	0.5577631112
19	0.5543087515
20	0.5511795551
21	0.5467545821
22	0.5428158556
23	0.5392674295
24	0.536129645
25	0.5331883131
26	0.5308222962
27	0.5276603509
28	0.5241264843
29	0.5219791439
30	0.5199445148
31	0.5173036964
32	0.5147144332
33	0.5114043674
34	0.5091008302
35	0.5072526508
36	0.5056210172
37	0.5025974494
38	0.5002908436
39	0.4988034061
40	0.4962588728
41	0.4944405218
42	0.4927434174
43	0.4911930833
44	0.4887704185
45	0.4873480217
46	0.4858119874
47	0.4841244962
48	0.4829338609
49	0.4815228287
50	0.4799453332
51	0.4782310408
52	0.477227559
53	0.4758891978
54	0.474612427
55	0.4732257745
56	0.4714770361
57	0.4701556975
58	0.4686860837
59	0.4677038545
60	0.466331603
61	0.4651659189
62	0.4640447598
63	0.4631111628
64	0.4617303728
65	0.4609205135
66	0.4596442199
67	0.4582150577
68	0.457311368
69	0.4569394769
70	0.455958238
71	0.4550645037
72	0.4539289528
73	0.4532653251
74	0.452401825
75	0.4515779447
76	0.4505034406
77	0.4498368445
78	0.4485628153
79	0.4479363619
80	0.4471335109
81	0.4463665042
82	0.4455828788
83	0.4444969723
84	0.4436287682
85	0.4432019321
86	0.4424815251
87	0.4418691982
88	0.4413371855
89	0.4406581694
90	0.4402289917
91	0.4394997473
92	0.4388449058
93	0.4384648949
94	0.4380569486
95	0.437376479
96	0.4366595761
97	0.4362164262
98	0.4357456903
99	0.4355056452
100	0.4349031167
101	0.434272513
102	0.4336442772
103	0.4329332977
104	0.431862536
105	0.4310904581
106	0.4305210219
107	0.4301094459
108	0.4297873855
109	0.428890943
110	0.4282926127
111	0.4276929993
112	0.4272023546
