iter	Passed	Remaining
0	34	34085
1	68	34011
2	103	34384
3	135	33695
4	168	33609
5	201	33304
6	233	33070
7	265	32901
8	297	32732
9	336	33357
10	372	33502
11	405	33358
12	437	33219
13	470	33146
14	502	33015
15	534	32890
16	567	32786
17	598	32672
18	630	32575
19	662	32473
20	694	32370
21	726	32295
22	757	32194
23	789	32117
24	822	32064
25	854	32014
26	887	31981
27	919	31914
28	951	31854
29	985	31872
30	1018	31850
31	1050	31784
32	1083	31746
33	1115	31689
34	1147	31642
35	1180	31615
36	1212	31556
37	1246	31563
38	1278	31514
39	1310	31457
40	1342	31389
41	1374	31362
42	1407	31335
43	1439	31283
44	1471	31219
45	1503	31185
46	1535	31133
47	1566	31073
48	1598	31032
49	1630	30974
50	1662	30928
51	1694	30892
52	1726	30849
53	1757	30791
54	1789	30752
55	1831	30865
56	1862	30816
57	1896	30803
58	1928	30762
59	1960	30710
60	1991	30663
61	2023	30607
62	2055	30574
63	2086	30519
64	2118	30474
65	2154	30490
66	2187	30458
67	2219	30420
68	2251	30373
69	2282	30322
70	2314	30286
71	2346	30240
72	2377	30195
73	2408	30139
74	2440	30096
75	2471	30052
76	2503	30013
77	2534	29964
78	2567	29930
79	2598	29883
80	2629	29838
81	2661	29796
82	2693	29757
83	2726	29726
84	2757	29686
85	2789	29641
86	2824	29636
87	2855	29590
88	2886	29549
89	2917	29503
90	2951	29484
91	2983	29442
92	3014	29398
93	3046	29358
94	3081	29355
95	3115	29341
96	3150	29329
97	3181	29285
98	3214	29252
99	3245	29206
100	3276	29163
101	3307	29121
102	3339	29083
103	3372	29056
104	3405	29028
105	3438	29001
106	3471	28970
107	3502	28930
108	3534	28889
109	3566	28856
110	3599	28826
111	3631	28788
112	3661	28743
113	3693	28705
114	3727	28686
115	3759	28647
116	3790	28607
117	3821	28567
118	3854	28535
119	3886	28498
120	3918	28464
121	3949	28423
122	3983	28399
123	4016	28373
124	4047	28334
125	4079	28299
126	4111	28261
127	4143	28228
128	4175	28191
129	4208	28165
130	4240	28127
131	4271	28088
132	4303	28051
133	4334	28012
134	4365	27971
135	4397	27937
136	4428	27898
137	4460	27862
138	4507	27917
139	4555	27983
140	4602	28036
141	4651	28103
142	4702	28181
143	4748	28226
144	4793	28264
145	4842	28322
146	4893	28393
147	4940	28438
148	4989	28496
149	5036	28539
150	5082	28575
151	5128	28609
152	5174	28643
153	5219	28674
154	5264	28698
155	5309	28724
156	5356	28758
157	5401	28783
158	5446	28805
159	5492	28833
160	5537	28855
161	5582	28877
162	5628	28900
163	5674	28924
164	5720	28949
165	5768	28981
166	5814	29002
167	5862	29032
168	5909	29055
169	5956	29081
170	6002	29098
171	6047	29113
172	6093	29128
173	6138	29139
174	6182	29148
175	6228	29161
176	6276	29183
177	6331	29239
178	6376	29245
179	6422	29259
180	6468	29269
181	6516	29288
182	6565	29310
183	6615	29337
184	6665	29365
185	6712	29375
186	6761	29394
187	6809	29409
188	6858	29429
189	6904	29435
190	6949	29435
191	6995	29438
192	7041	29441
193	7088	29451
194	7138	29467
195	7186	29479
196	7232	29480
197	7277	29478
198	7324	29483
199	7371	29485
200	7417	29487
201	7464	29489
202	7511	29489
203	7565	29520
204	7597	29464
205	7631	29412
206	7670	29384
207	7703	29330
208	7735	29275
209	7767	29218
210	7798	29159
211	7831	29107
212	7863	29052
213	7894	28997
214	7927	28944
215	7959	28889
216	7991	28836
217	8023	28783
218	8055	28726
219	8086	28669
220	8118	28617
221	8150	28564
222	8182	28509
223	8215	28460
224	8247	28407
225	8278	28353
226	8310	28299
227	8341	28244
228	8373	28191
229	8404	28138
230	8436	28085
231	8471	28042
232	8502	27989
233	8533	27935
234	8565	27883
235	8597	27831
236	8629	27780
237	8660	27728
238	8691	27675
239	8724	27627
240	8755	27574
241	8787	27523
242	8818	27472
243	8850	27421
244	8881	27370
245	8914	27322
246	8946	27272
247	8980	27230
248	9015	27192
249	9047	27143
250	9078	27091
251	9110	27041
252	9141	26990
253	9174	26946
254	9206	26897
255	9238	26848
256	9269	26798
257	9307	26767
258	9342	26730
259	9380	26698
260	9412	26651
261	9444	26602
262	9476	26556
263	9509	26510
264	9542	26466
265	9574	26418
266	9605	26370
267	9637	26322
268	9668	26275
269	9700	26227
270	9733	26182
271	9766	26141
272	9799	26095
273	9831	26049
274	9862	26000
275	9893	25952
276	9924	25905
277	9957	25859
278	9987	25811
279	10020	25767
280	10054	25725
281	10085	25679
282	10117	25633
283	10148	25585
284	10181	25542
285	10213	25497
286	10245	25452
287	10277	25408
288	10312	25372
289	10344	25326
290	10375	25279
291	10406	25232
292	10439	25190
293	10471	25146
294	10504	25103
295	10535	25057
296	10568	25014
297	10600	24970
298	10631	24925
299	10663	24881
300	10694	24836
301	10726	24791
302	10757	24746
303	10788	24701
304	10822	24660
305	10864	24639
306	10895	24595
307	10927	24551
308	10961	24513
309	10993	24469
310	11025	24426
311	11057	24382
312	11088	24338
313	11120	24294
314	11153	24253
315	11184	24208
316	11220	24175
317	11253	24134
318	11284	24091
319	11316	24047
320	11349	24006
321	11380	23962
322	11413	23922
323	11445	23879
324	11476	23836
325	11508	23793
326	11540	23751
327	11571	23707
328	11602	23663
329	11633	23619
330	11665	23577
331	11696	23534
332	11728	23492
333	11761	23451
334	11792	23408
335	11823	23365
336	11855	23323
337	11887	23283
338	11920	23242
339	11951	23200
340	11982	23157
341	12013	23113
342	12044	23070
343	12075	23028
344	12107	22986
345	12144	22954
346	12175	22912
347	12207	22870
348	12238	22828
349	12270	22788
350	12302	22747
351	12334	22705
352	12366	22666
353	12398	22626
354	12430	22584
355	12461	22542
356	12492	22499
357	12525	22461
358	12557	22420
359	12589	22381
360	12621	22341
361	12654	22301
362	12684	22259
363	12716	22219
364	12747	22177
365	12779	22136
366	12824	22120
367	12871	22105
368	12918	22090
369	12959	22066
370	12991	22025
371	13025	21988
372	13071	21972
373	13117	21955
374	13164	21941
375	13196	21899
376	13227	21858
377	13260	21820
378	13293	21781
379	13326	21743
380	13372	21725
381	13418	21709
382	13462	21687
383	13493	21646
